log,seed,method,k,n_groups,ratio_to_k,ari,nmi,v_measure,purity,sig_per_variant,group_sig_entropy
hidden_context,0,trace2vec@k,3.0,3,1.0,0.10319454849513311,0.23221798940340216,0.23221798940340213,0.5048076923076923,1.0,1.0159222794223568
hidden_context,0,trace2vec@auto,3.0,5,1.6666666666666667,0.2603275945460875,0.4685082430548729,0.46850824305487293,0.7028846153846153,1.0,0.3866320038913797
hidden_context,0,enabled@k,3.0,3,1.0,0.5120368887370217,0.674904034217737,0.674904034217737,0.8096153846153846,1.3333333333333333,0.30160109118088957
hidden_context,0,enabled@auto,3.0,4,1.3333333333333333,0.8150335305352561,0.882566394545173,0.882566394545173,1.0,1.0,0.0
hidden_context,0,attr_clean@k,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3325477653287979
hidden_context,0,attr_clean@auto,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3325477653287979
hidden_context,0,attr_noisy@k,3.0,3,1.0,0.09352533896194204,0.18609889325626966,0.18609889325626966,0.5125,1.0,1.274912459642965
hidden_context,0,attr_noisy@auto,3.0,4,1.3333333333333333,0.2982075787986114,0.4363510088480689,0.4363510088480689,0.7057692307692308,1.0,0.9547865537852971
hidden_context,0,attr_all@k,3.0,3,1.0,0.6922493329357213,0.7673204446386155,0.7673204446386155,0.8980769230769231,1.1428571428571428,0.5325054982017372
hidden_context,0,attr_all@auto,3.0,5,1.6666666666666667,0.7610367129860673,0.8314692428689353,0.8314692428689353,1.0,1.0,0.19896676474530797
hidden_context,0,attr_oracle@k,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3325477653287979
hidden_context,0,attr_oracle@auto,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3325477653287979
task_mining_helpdesk,0,global,2.0,1,0.5,0.0,0.0,0.0,0.5818181818181818,1.3333333333333333,0.9805974409917271
task_mining_helpdesk,0,kappa,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
task_mining_helpdesk,0,kappa_supported,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
task_mining_helpdesk,0,classical_variants,2.0,3,1.5,0.314366156310762,0.35269897544709816,0.35269897544709816,0.8036363636363636,1.3333333333333333,0.27165344983028067
task_mining_helpdesk,0,translucent_variants,2.0,4,2.0,0.7777408671007148,0.7547336068266319,0.7547336068266318,1.0,1.0,0.0
task_mining_helpdesk,0,cf_kmeans@k,2.0,2,1.0,0.15224145957332352,0.2251628995430114,0.2251628995430114,0.7036363636363636,1.3333333333333333,0.46119053879301947
task_mining_helpdesk,0,cf_kmeans@auto,2.0,3,1.5,0.314366156310762,0.35269897544709816,0.35269897544709816,0.8036363636363636,1.3333333333333333,0.27165344983028067
task_mining_helpdesk,0,cf_ward@k,2.0,2,1.0,0.36271801173085694,0.39724312853549515,0.3972431285354951,0.8036363636363636,1.3333333333333333,0.407480174745421
task_mining_helpdesk,0,cf_ward@auto,2.0,3,1.5,0.314366156310762,0.35269897544709816,0.35269897544709816,0.8036363636363636,1.3333333333333333,0.27165344983028067
task_mining_helpdesk,0,ctx_kmeans@k,2.0,2,1.0,0.36271801173085694,0.39724312853549515,0.3972431285354951,0.8036363636363636,1.3333333333333333,0.407480174745421
task_mining_helpdesk,0,ctx_kmeans@auto,2.0,2,1.0,0.36271801173085694,0.39724312853549515,0.3972431285354951,0.8036363636363636,1.3333333333333333,0.407480174745421
task_mining_helpdesk,0,trace2vec@k,2.0,2,1.0,0.36271801173085694,0.39724312853549515,0.3972431285354951,0.8036363636363636,1.3333333333333333,0.407480174745421
task_mining_helpdesk,0,trace2vec@auto,2.0,2,1.0,0.36271801173085694,0.39724312853549515,0.3972431285354951,0.8036363636363636,1.3333333333333333,0.407480174745421
task_mining_helpdesk,0,enabled@k,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
task_mining_helpdesk,0,enabled@auto,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
task_mining_helpdesk,0,attr_clean@k,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
task_mining_helpdesk,0,attr_clean@auto,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
task_mining_helpdesk,0,attr_noisy@k,2.0,2,1.0,0.6381622069336162,0.6059805310014509,0.6059805310014509,0.9,1.0,0.3007176932145386
task_mining_helpdesk,0,attr_noisy@auto,2.0,2,1.0,0.6381622069336162,0.6059805310014509,0.6059805310014509,0.9,1.0,0.3007176932145386
task_mining_helpdesk,0,attr_all@k,2.0,2,1.0,0.6381622069336162,0.6059805310014509,0.6059805310014509,0.9,1.0,0.3007176932145386
task_mining_helpdesk,0,attr_all@auto,2.0,2,1.0,0.6381622069336162,0.6059805310014509,0.6059805310014509,0.9,1.0,0.3007176932145386
task_mining_helpdesk,0,attr_oracle@k,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
task_mining_helpdesk,0,attr_oracle@auto,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
loop_process,0,global,,1,,,,,,1.0,1.3502371277654146
loop_process,0,kappa,,4,,,,,,1.0,0.0
loop_process,0,kappa_supported,,4,,,,,,1.0,0.0
loop_process,0,classical_variants,,4,,,,,,1.0,0.0
loop_process,0,translucent_variants,,4,,,,,,1.0,0.0
loop_process,0,cf_kmeans@auto,,2,,,,,,1.0,0.6655167266279118
